id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries,Label
1199642838788526080,Wed Nov 27 10:55:15 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Today in #NotTheOnion

 https://t.co/hyltTPHMn1",Today,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,SergeNuffler,False,NotTheOnion,,,,0
1199617656082587648,Wed Nov 27 09:15:11 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @NGOmonitor: You know @HRW is defending #HumanRights when a theocratic dictatorship is sad to see them go.🙄 #NotTheOnion #HumanRightsHyp…,You know defending theocratic dictatorship sad see go …,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0,en,0,16,b_krukov,,"HumanRights, NotTheOnion","NGOmonitor, hrw",,,0
1199611343474712576,Wed Nov 27 08:50:06 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @NGOmonitor: You know @HRW is defending #HumanRights when a theocratic dictatorship is sad to see them go.🙄 #NotTheOnion #HumanRightsHyp…,You know defending theocratic dictatorship sad see go …,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0,en,0,16,adamglantz,,"HumanRights, NotTheOnion","NGOmonitor, hrw","McLean, VA",,0
1199609348022046720,Wed Nov 27 08:42:10 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#NotTheOnion
Now that @hrw superheroes @KenRoth @OmarSShakir @astroehlein have bravely battled #Israel's courts, th… https://t.co/50kuFYTuNo",Now superheroes bravely battled 's courts th…,"Sentiment(polarity=0.8, subjectivity=1.0)",0.8,1.0,en,2,0,KenRothWatch1,False,"NotTheOnion, Israel","hrw, KenRoth, OmarSShakir, astroehlein",,,0
1199605757316087808,Wed Nov 27 08:27:54 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","""Expanding stock markets could be good for the earth, according to research from the European Central Bank""
#NotTheOnion",`` Expanding stock markets could good earth according research European Central Bank '',"Sentiment(polarity=0.2333333333333333, subjectivity=0.2833333333333334)",0.2333333333333333,0.2833333333333334,en,0,0,TomPipTrading,,NotTheOnion,,,,0
1199603462373281797,Wed Nov 27 08:18:47 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @NGOmonitor: You know @HRW is defending #HumanRights when a theocratic dictatorship is sad to see them go.🙄 #NotTheOnion #HumanRightsHyp…,You know defending theocratic dictatorship sad see go …,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0,en,0,16,Kveldulf7,,"HumanRights, NotTheOnion","NGOmonitor, hrw",,,0
1199600784209563648,Wed Nov 27 08:08:09 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @TheHalaAli: So the Chief Executive of EHRC is concerned that the Chairman of EHRC isn't sufficiently independent enough. Uh oh. #NotThe…,So Chief Executive EHRC concerned Chairman EHRC n't sufficiently independent enough Uh oh …,"Sentiment(polarity=0.0, subjectivity=0.3125)",0.0,0.3125,en,0,1,YassineWB,,,TheHalaAli,In transit...,,0
1199583738675499009,Wed Nov 27 07:00:25 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @TheMossadIL: @ADL @SachaBaronCohen Of course our thoughts are in line with SBC's. 
How can we possibly be an effective parody account i…",Of course thoughts line SBC 's How possibly effective parody account i…,"Sentiment(polarity=0.6, subjectivity=0.8)",0.6,0.8,en,0,6,NININE96947298,,,"TheMossadIL, ADL, SachaBaronCohen","Mimizan, France",,0
1199557642722500608,Wed Nov 27 05:16:43 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","People who constantly point out grammatical mistakes are jerks, study finds. #nottheonion https://t.co/fThZiYaiJQ v… https://t.co/YSUYbhQHKA",People constantly point grammatical mistakes jerks study finds v…,"Sentiment(polarity=0.0, subjectivity=0.3333333333333333)",0.0,0.3333333333333333,en,0,0,alexreverie,False,nottheonion,,,,0
1199541493624537088,Wed Nov 27 04:12:33 +0000 2019,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",RT @4PawShop: #nottheonion Papa John's founder eats more than 40 pizzas in 30 days. The verdict: It tastes different https://t.co/V7TQBiq8Y…,Papa John 's founder eats 40 pizzas 30 days The verdict It tastes different,"Sentiment(polarity=0.0, subjectivity=0.6)",0.0,0.6,en,0,2,PokerCenter,,nottheonion,4PawShop,Germany/Deutschland,,0
